contract_id,file_path,status,tokens_used,uptime_guarantee,response_time_sla,sla_breach_threshold,sla_measurement_period,penalty_uptime_breach,penalty_late_delivery,penalty_termination_fee,penalty_late_payment,penalty_data_breach,penalty_has_monetary,penalty_max_amount,penalty_currency,service_credit_cap,renewal_terms,termination_clause,liability_cap,governing_law,dispute_resolution,created_at
cuad_0094,data\cuad_raw\cuad_0094.txt,success,9229,,,,,,,,,,0,,,,,"Section 9.01. Termination by Both Parties. Subject to Section 9.02, this Agreement may not be terminated except by an agreement in writing signed by a duly authorized officer of each of the Parties. Section 9.02. Termination prior to the Distribution. This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution  provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms. Section 9.03. Effect of Termination  Survival. In the event of any termination of this Agreement prior to the Distribution, neither Party (nor any member of their Group or any of their respective directors or officers) shall have any Liability or further obligation to the other Party or any member of its Group under this Agreement. Except with respect to termination of the Agreement under Section 9.02, notwithstanding anything in this Agreement to the contrary, ARTICLE I, ARTICLE VI, ARTICLE VII, this Section 9.03 and ARTICLE XI shall survive any termination of this Agreement.","Section 7.01. Limitation on Liability. Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Nuance, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other s Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages.","Any disputes relating to, arising out of or resulting from this Agreement, including to its execution, performance, or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of Delaware, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.","Section 11.02. Dispute Resolution. In the event that either Party, acting reasonably, forms the view that another Party has caused a material breach of the terms of this Agreement, then the Party that forms such a view shall serve written notice of the alleged breach on the other Parties and the Parties shall work together in good faith to resolve any such alleged breach within thirty (30) days of such notice (a  Dispute ). If any such alleged breach is not so resolved, then a senior executive of each Party shall, in good faith, attempt to resolve any such alleged breach within the following thirty (30) days of the referral of the matter to the senior executives. If no resolution is reached with respect to any such alleged breach in accordance with the procedures contained in this Section 11.02, then the Parties may seek to resolve such matter in accordance with Section 11.03, Section 11.04, Section 11.05 and Section 11.06",2026-05-16 13:58:10
cuad_0095,data\cuad_raw\cuad_0095.txt,success,8768,,,,,,,,,,0,,,,,"This Agreement may be terminated by Honeywell at any time, in its sole discretion, prior to the Distribution  provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms.","none of Honeywell, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other s Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages.","Any disputes arising out of or relating to this Agreement, including to its execution, performance or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of New York, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.","In the event that either Party, acting reasonably, forms the view that another Party has caused a material breach of the terms of this Agreement, then the Party that forms such a view shall serve written notice of the alleged breach on the other Parties and the Parties shall work together in good faith to resolve any such alleged breach within thirty (30) days of such notice (a  Dispute ). If any such alleged breach is not so resolved, then a senior executive of each Party shall, in good faith, attempt to resolve any such alleged breach within the following thirty (30) days of the referral of the matter to the senior executives. If no resolution is reached with respect to any such alleged breach in accordance with the procedures contained in this Section 11.02, then the Parties may seek to resolve such matter in accordance with Section 11.03, Section 11.04 and Section 11.06",2026-05-16 13:58:27
cuad_0096,data\cuad_raw\cuad_0096.txt,success,6762,,,,,,,,,,,,,,,"Investor at any time may provide written notice to Company of a material breach of this IP Agreement. If Company fails to cure the identified breach within thirty (30) days after the date of the notice, Investor may terminate this IP Agreement by written notice to Company. If the Option is not exercised before the expiration of the Option Period, Company may provide written notice to Investor of a material breach of this IP Agreement. If Investor fails to cure the identified breach within thirty (30) days after the date of the notice, Company may terminate this IP Agreement by written notice to Investor. If the Option is exercised before the expiration of the Option Period, Company may not terminate this IP Agreement for material breach.",,This IP Agreement will be construed in accordance with the substantive laws of the state of New York and of the United States of America.,The procedures set forth in this Article XVIII shall be the exclusive mechanism for resolving any dispute that may arise from time to time relating to this IP Agreement ( Dispute ). Either Party may commence the procedures contemplated by this Article XVIII by written notice to the other that a Dispute has arisen (a  Dispute Notice ).,2026-05-16 13:58:43
cuad_0097,data\cuad_raw\cuad_0097.txt,success,3962,,,,,,,,,,0,,,,"The Joint Venture shall commence on the 1st of March, 2003, and shall be effective until February 28, 2004 unless extended by written agreement of the Joint Venturers not less than thirty (30) days prior to scheduled termination.","On any termination of the Joint Venture, its debt shall be paid or provided for in a manner satisfactory to the Joint Venturers. Then, any unexpended portion of Joint Venture funds shall be distributed to the Joint Venturers in accordance with their prorata ownership in the Joint Venture and all other assets of the Joint Venture shall be distributed as undivided interests to the Joint Venturers ratably according to their prorata interests in the Joint Venture as set forth in Section 6.",,"The Joint Venturers declare that in entering into this Agreement, they have contracted with reference to the laws of the Commonwealth of Pennsylvania, and the construction and interpretation of the terms and provisions of this Agreement shall be interpreted and construed under the laws of the Commonwealth of Pennsylvania, except in such cases and to such extent as the laws of another jurisdiction shall necessarily control.",,2026-05-16 13:58:59
cuad_0098,data\cuad_raw\cuad_0098.txt,success,6116,,,,,,,"Each Member will indemnify the remaining Members against all losses, costs and claims that may arise in the event of the Venture being terminated as a result of breach of the Agreement by that Member.",This liability will be repaid with interest at such rates and times to be determined by a majority of the Members.,,0,,,,The Term may be extended with the unanimous consent of all Members.,Where a Member is in breach of this Agreement and that Member has not remedied the breach on notice from the Venture and after a reasonable period then the remaining Members will have the right to terminate this Agreement with regard to that individual defaulting Member (an  Involuntary Withdrawal ) and take whatever action necessary to protect the interests of the Venture.,No Member will be liable to the Venture or to any other Member for any error in judgment or any act or failure to act where made in good faith. The Member will be liable for any and all acts or failures to act resulting from gross negligence or willful misconduct.,The Members submit to the jurisdiction of the courts of the State of Florida for the enforcement of this Agreement and for any arbitration award or decision arising from this Agreement.,"In the event a dispute arises out of, or in connection with, this Agreement, the Members will attempt to resolve the dispute through friendly consultation. If the dispute is not resolved within a reasonable period then any or all outstanding issues may be submitted to mediation in accordance with any statutory rules of mediation. If mediation is not successful in resolving the entire dispute or is unavailable, any outstanding issues will be submitted to final and binding arbitration in accordance with the laws of the State of Florida. The arbitrator s award will be final, and judgment may be entered upon it by any court having jurisdiction within the State of Florida.",2026-05-16 13:59:16
cuad_0099,data\cuad_raw\cuad_0099.txt,partial,2172,,,,,,,,,,,,,,,,,,,2026-05-16 13:59:30
cuad_0100,data\cuad_raw\cuad_0100.txt,success,11908,,,,,,,,,,0,,,,,"16.4 If the JVC fails to sell [one million dollars (US$ 1,000,000.00)] worth of Products in the Territory within [eighteen (18)] months from the date of execution of this Agreement, both the Parties will mutually discuss whether to continue or terminate the Agreement.",,24.2 Governing Law: This Agreement shall be governed by and construed in accordance with the laws of India and the Delhi Courts shall have exclusive jurisdiction over any legal proceedings in respect of this Agreement.,"19.2 Arbitration: In the event that such negotiations fail to so resolve the difference within a period of ninety (90) working days from the date of receipt of the notice by the other party, such difference shall be finally settled under the rules of the International Chamber of Commerce by arbitrator(s) appointed in accordance with the said Rules. The arbitration proceedings shall be conducted at London, United Kingdom, in the English language.",2026-05-16 13:59:48
cuad_0101,data\cuad_raw\cuad_0101.txt,success,8184,,,,,,,,,,,,,,"This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non-renewal is sent one year before the natural expiry date.","Each Parties shall have the right to terminate its obligations, if one of the following events occurs: the Company (i) applies for or consents to the appointment of a receiver, trustee, custodian or liquidator of itself or substantially all of its property, (ii) becomes subject to the appointment of a receiver, trustee, custodian or liquidator of itself or substantially all of its property, (iii) makes an assignment for the benefit of creditors, (iv) institutes any proceedings under or state bankruptcy, reorganization, receivership, insolvency or other similar law affecting the rights of creditors generally, or files a petition or answer seeking reorganization or an arrangement with creditors to take advantage of any insolvency law, or files an answer admitting the material allegations of a bankruptcy, reorganization or insolvency petition filed against it, or (v) becomes subject to any involuntary proceedings under the state bankruptcy, reorganization, receivership, insolvency or other similar law affecting the rights of creditors generally, when proceeding is not dismissed within thirty (30) days of filing, or have an order for relief entered against it in any proceedings under Bankruptcy Code.",,"All disputes arising out of or in connection with this Agreement shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by one or more arbitrators appointed in accordance with the said Rules. Any such arbitration shall (i) be subject to the application of the Italian Law, (ii) take place in Paris, France and (iii) be conducted in English.","All disputes arising out of or in connection with this Agreement shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by one or more arbitrators appointed in accordance with the said Rules. Any such arbitration shall (i) be subject to the application of the Italian Law, (ii) take place in Paris, France and (iii) be conducted in English. Each of the parties to this Agreement consents to personal jurisdiction for any emergency injunction sought in the Court of Rome. However, subsequent to the emergency injunction hearing, the merits of the matter will be decided by the ICC as per the procedure set forth above.",2026-05-16 14:00:05
cuad_0102,data\cuad_raw\cuad_0102.txt,success,6022,,,,,,,,,,0,,,,NVOS and HGF may renew the Agreement within two (2) years of the expiry of the initial term upon mutual understanding.,"The initial term of this Agreement shall, unless sooner terminated by consent of all parties, expires in five (5) years from the date of Effective Date.",,,"The Parties shall negotiate in good faith and make every effort to settle any dispute, or claim, that may arise out of, or relate to, the Agreement. If agreement cannot be reached, an aggrieved Party shall, if he intends to proceed further in terms of Section 21.2 hereof, advise all other Parties in writing that negotiations have failed and that he intends to refer the matter to mediation in terms of Section 21.2. Not earlier than ten (10) working days after having advised the other Party, in terms of Section 21.2, that negotiations in regard to a dispute have failed, an aggrieved Party may require that the dispute be referred, without legal representation, to mediation by a single mediator. The mediator shall be selected by agreement between the Parties. The costs of the mediation shall be borne equally by the Parties. The mediator shall convene a hearing of the Parties and may hold separate discussions with either Party and shall assist the Parties in reaching a mutually acceptable settlement of their differences through means of reconciliation, interpretation, clarification, suggestion and advice. The Parties shall record such agreement in writing and thereafter they shall be bound by such agreement. The mediator is authorised to end the mediation process whenever in his opinion further efforts at mediation would not contribute to a resolution of the dispute between the Parties. Where a dispute or claim is not resolved by mediation, it shall be referred to arbitration by a single arbitrator to be selected by agreement between the Parties. The Party requiring referral to arbitration shall notify the other Party, in writing, thereof, not later than thirty (30) calendar days after the mediator has expressed his opinion, failing which the mediator s opinion shall be deemed to have been accepted by the Parties and shall be put into effect. Arbitration shall be conducted in accordance with the provisions of the Arbitration Act No. 42 of 1965, as amended, and in accordance with such procedure as may be agreed by the Parties or, failing such agreement, in accordance with the rules for the Conduct of Arbitrations published by the Association of Arbitrators and current at the date that the arbitrator is appointed. The decisions of the arbitrator shall be final and binding on the Parties, shall be carried into immediate effect and, if necessary, be made an order of any court of competent jurisdiction.",2026-05-16 14:00:24
cuad_0103,data\cuad_raw\cuad_0103.txt,success,14921,,,,,,"In the event that FSL/AFSL or TPH/TPH-A, as applicable, has failed to purchase its applicable number of wafers in accordance with the Business Plan, then such Party shall compensate the Company for the shortfalls in the actual revenue of the Company attributable to its failure to purchase such wafers versus its share of the planned revenue set forth in the Business Plan.",,,,0,,,,,"7.3.1 After the Effective Date, this Agreement may be terminated on the date that the first of the following shall occur: (i) by mutual written consent duly executed by FSL and AFSL on the one hand, and TPH-A and TPH on the other hand (ii) By FSL/AFSL or TPH/TPH-A, if there is only one (1) shareholder, whatsoever the reason, in the Company (iii) If the Put Option or Call Option is exercised, one (1) Business Day after the Put Closing Date or Call Closing Date, as applicable (iv) By TPH/TPH-A, if FSL/AFSL has not exercised the Put Option within one hundred eighty (180) days of the Option Starting Date or (v) By FSL/AFSL and TPH/TPH-A, if there is a change in the Control of the other and the acquiring/succeeding entity causing such change in the Control is an entity that may be reasonably believed to be objectionable to the Japanese Government and/or FSL including FSL s Affiliates in case of the termination by FSL/AFSL or the US Government and/or TPH in case of the termination by TPH/TPH-A, termination to be effective upon thirty (30) days  notice of termination.",,"11.14 Governing Law  Language. The English text of this Agreement shall control any interpretation of its provisions, and this Agreement and the legal relations among the Parties and the Company shall in all respects be interpreted, construed and governed by and in accordance with the laws of Japan.","11.15 Resolution of Disputes. 11.15.1 The Parties shall attempt in good faith to resolve any and all disputes arising out of or relating to this Agreement through friendly consultations. If the Parties cannot resolve the dispute through friendly consultation, the provisions of Section 11.15.2 to Section 11.15.4 shall apply with respect to such dispute. 11.15.2 Any dispute, controversy or claim arising out of or relating to this Agreement, or the breach, termination or invalidity hereof, shall be finally resolved exclusively by arbitration administered by the Hong Kong International Arbitration Centre ( HKIAC ). The arbitration shall be conducted in accordance with the HKIAC Administered Arbitration Rules in effect at the time of the arbitration, except as they may be modified by mutual agreement of the Parties. The seat of the arbitration shall be Hong Kong. The arbitration shall be conducted in the English language. 11.15.3 The arbitration shall be conducted by three (3) arbitrators. The Party initiating arbitration (the  Claimant ) shall appoint an arbitrator in its request for arbitration (the  Request ). The other Party to the arbitration (the  Respondent ) shall appoint an arbitrator within thirty (30) days of receipt of the Request and shall notify Claimant of such appointment in writing. The first two (2) arbitrators appointed in accordance with this provision shall appoint a third arbitrator, who shall act as chair of the tribunal. The arbitral award shall be in writing, state the reasons for the award, and be final and binding on the Parties. The award may include an award of costs, including, without limitation, reasonable attorneys  fees and disbursements. In addition to monetary damages, the arbitral tribunal shall be empowered to award equitable relief. 11.15.4 The Parties agree that the arbitration shall be kept confidential, and that the costs of arbitration shall be borne by the losing Party unless otherwise determined by the arbitration award. All payments made pursuant to the arbitration decision or award and any judgment entered thereon shall be made in United States dollars, free from any deduction, offset or withholding for taxes. 11.15.5 Notwithstanding this Section 11.15 or any other provision to the contrary in this Agreement, no Party shall be obligated to follow the foregoing arbitration procedures where such Party intends to apply to any court of competent jurisdiction for an interim injunction or similar equitable relief against any other Party, provided there is no unreasonable delay in the prosecution of that application. 11.15.6 When any dispute occurs and when any dispute is under litigation or arbitration, except for the matters in dispute, the Parties shall continue to fulfill their respective obligations and shall be entitled to exercise their rights under this Agreement. However, this provision shall not apply to rights or obligations extinguished in connection with a valid termination of this Agreement. 11.15.7 Judgment on the award rendered by the arbitrator may be entered in any court having jurisdiction. Except as set forth above, each of the Parties hereby irrevocably waives any and all right to trial by jury in any legal proceeding arising out of or relating to this Agreement or the transactions contemplated hereby.",2026-05-16 14:00:47
cuad_0104,data\cuad_raw\cuad_0104.txt,success,8633,,,,,,,,,,,,,,"Upon the agreement of all Parties and the unanimous consent of the Board of Directors, an application to extend the Contract Term may be made to the Examination and Approval Authority no less than six (6) months prior to the expiration of the Contract Term.","Each Party shall have the right to terminate this Contract prior to the expiration of the Contract Term by written notice to the other Party if any of the following events occur: (1) in the event that either party fails to make its capital contribution, in whole or in part, within [90] days of the due date, or in the event that any of the conditions precedent set forth in Article 34 of this Contract have not been satisfied or waived within [120] days of the date on which this Contract is signed by the parties (2) the other Party materially breaches this Contract or materially violates the Articles of Association, and such breach or violation is not cured within sixty (60) days of written notice to the breaching/violating Party (3) the Joint Venture Company or the other Party becomes bankrupt, or is the subject of proceedings for liquidation or dissolution, or ceases to carry on business, or becomes unable to pay its debts as they come due (4) the other Party transfers all or any part of its share of the Joint Venture Company's registered capital in violation of the provisions of this Contract (5) any government authority having authority over any Party requires any provision of this Contract or the Articles of Association to be revised in such a way as to cause significant adverse consequences to the Joint Venture Company or any Party (6) the conditions or consequences of Force Majeure prevail with the result of a major impairment to the functioning of the Joint Venture Company for a period in excess of six (6) months and the Parties have been unable to find an equitable solution or (7) the Parties cannot implement the economic adjustment described in Article 119.",,"The formation, validity, interpretation and implementation of this Contract, and any disputes arising under this Contract, shall be governed by the published laws of the People's Republic of China.","In the event a dispute arises in connection with the interpretation or implementation of this Contract, the Parties shall attempt in the first instance to resolve such dispute through friendly consultations. If the dispute is not resolved through consultations within sixty (60) days after one Party has served a written notice on the other Party requesting the commencement of consultations, then any Party may refer the dispute to arbitration in Singapore under the auspices of the Singapore International Arbitration Centre in accordance with the rules of that Centre for the time being in force and the provisions of Article 117 of this Contract.",2026-05-16 14:01:05
cuad_0105,data\cuad_raw\cuad_0105.txt,success,3451,,,,,,,,,,,,,,,"Except as expressly set forth in this Amendment and notwithstanding anything to the contrary contained in the JV Agreement (including Section 9.3.11 (Termination and Survival)), (a) effective as of the later of the VNBJ Closing and the VNBZ Closing, the JV Agreement shall terminate in its entirety with respect to the Veoneer Parties and (b) after the later of the VNBJ Closing and the VNBZ Closing, the Veoneer Parties shall cease to be a party to the JV Agreement and shall have no further obligations with respect thereto. For clarity, upon the later of the VNBJ Closing and the VNBZ Closing, the JV Agreement will remain in full force and effect in accordance with the terms thereof solely between the Nissin Parties and Autoliv AB with respect to the liquidation proceedings of ANRA.",,This Amendment shall be governed by and construed in accordance with the laws of Japan.,,2026-05-16 14:01:21
cuad_0106,data\cuad_raw\cuad_0106.txt,success,8160,,,,,,,,,,0,,,,"This Agreement shall automatically extend for an additional two (2) years on the same terms herein ( Renewal Term ) provided WPT receives payments greater than twelve million U.S. dollars ($12,000,000) within the Initial Term.","In the event that any of these events of default should occur and a party elects to exercise its right to terminate this Agreement, such party shall give notice of termination in writing to the other party, which notice shall specify in reasonable detail the event(s) of default that give rise to such termination. The other party shall have thirty (30) days from the effective date of such notice in which to correct any such default(s) (except those which are not curable), and failing such correction by the end of such thirty (30) day cure period, this Agreement shall thereupon immediately terminate.","IN NO EVENT SHALL EITHER PARTY OR ITS OFFICERS, DIRECTORS, OR EMPLOYEES BE LIABLE TO THE OTHER PARTY IN CONNECTION WITH THE SUBJECT MATTER HEREOF, FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR PUNITIVE DAMAGES OF ANY KIND, LOST PROFITS OR LOST REVENUE, WHETHER ARISING IN CONTRACT, TORT, NEGLIGENCE, STATUTE, OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.",This Agreement will for all purposes be governed by and interpreted in accordance with the laws of the State of California without giving effect to any conflict of laws principles that require the application of the laws of a different state.,"Each of the parties hereto (i) irrevocably agrees that the federal and state courts in the Northern District of California shall have sole and exclusive jurisdiction over any suit or other proceeding arising out of or based upon this Agreement, (ii) submits to the venue and jurisdiction of such courts, and (iii) irrevocably consents to personal jurisdiction by such courts.",2026-05-16 14:01:38
cuad_0107,data\cuad_raw\cuad_0107.txt,success,5385,,,,,,,,,,,,,,,Licensor and Licensee will be entitled to terminate this Agreement by written notice to the other party in the event the other party is in material breach of any of its obligations hereunder and shall fail to remedy any such default within one hundred twenty (120) days after notice thereof by the non-breaching party.,,This Agreement shall be governed by and interpreted in accordance with the laws of the State of Delaware without regard to its conflicts of law principles.,"Each of the parties: (a) submits to the exclusive jurisdiction of any state or federal court sitting in Wilmington, Delaware for any action or proceeding arising out of, or relating to, this Agreement; (b) agrees that all claims in respect of the action or proceeding may be heard and determined in any such court; and (c) agrees not to bring any action or proceeding arising out of, or relating to, this Agreement in any other court.",2026-05-16 14:01:54
cuad_0108,data\cuad_raw\cuad_0108.txt,success,7948,,,,,,,,,,0,,,,,"This Agreement may be terminated by ArTara upon thirty (30) days prior written notice to University. Either Party may terminate the Project and all commitments and obligations with respect thereto, subject to Section 8.3 herein, upon thirty (30) days written notice to the other Party.","IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY UNDER THIS AGREEMENT IN A DIRECT ACTION BETWEEN THE PARTIES FOR SPECIAL, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS) SUFFERED BY THE OTHER PARTY.",This Agreement shall be governed by the laws of the State of Iowa.,,2026-05-16 14:02:09
cuad_0109,data\cuad_raw\cuad_0109.txt,success,9489,,,,,,,,,"Licensor shall defend, indemnify and hold harmless Licensee and its Affiliates, and their respective officers, directors, employees, agents, shareholders, successors and assigns, (collectively, the  Licensee Parties ) from and against any claim, suit, demand or action ( Action ), and any and all direct losses suffered or incurred by Licensee in connection with any third party claims arising out of or resulting from any breach by Licensor of any provision of this Agreement.",1,,,,"Beginning twelve (12) months prior to the expiration of the Initial Term, the Parties shall use good faith efforts to negotiate an extension of the term of this Agreement (the Initial Term together with any applicable extension, the  Term ).","Licensor may terminate this Agreement at any time in the event that the Licensee is in material default or breach of any provision of this Agreement, and, if such default or breach is capable of cure, such default or breach continues uncured for a period of thirty (30) days after receipt of written notice thereof; provided, however, that in the event that the Licensee has in good faith commenced cure within such thirty (30) day period, but cannot practically complete such cure within such thirty (30) day period, the Parties shall negotiate a reasonable additional time to cure. Licensee may terminate this Agreement at any time in the event that the Licensor is in material default or breach of any provision of this Agreement, and, if such default or breach is capable of cure, such default or breach continues uncured for a period of thirty (30) days after receipt of written notice thereof; provided, however, that in the event that the Licensor has in good faith commenced cure within such thirty (30) day period, but cannot practically complete such cure within such thirty (30) day period, the Parties shall negotiate a reasonable additional time to cure.",,"This Agreement and any dispute or claim arising out of or in connection with it or its subject matter shall be governed by, and construed in accordance with, the laws of the People s Republic of China (without regard to its conflicts of laws rules that would mandate the application of the laws of another jurisdiction).","Any dispute, controversy or claim arising out of or relating to this Agreement, or the breach, termination or invalidity thereof (each, a  Dispute ), shall to the extent possible be settled through friendly consultation among the Parties hereto. The claiming Party (the  Claimant ) shall promptly notify the other Party (the  Respondent ) in a dated written notice that a Dispute has arisen and describe the nature of the Dispute. Any Dispute which remains unresolved within sixty (60) days after the date of such written notice shall be submitted to the China International Economic and Trade Arbitration Commission (the  Commission ) to be finally settled by arbitration in Beijing, PRC in accordance with the Commission s then effective rules (the  Rules ) and this Section 10.12. The language of the arbitration shall be Mandarin Chinese. The arbitration tribunal shall consist of three (3) arbitrators. The Claimant shall appoint one (1) arbitrator, the Respondent shall appoint one (1) arbitrator, and the two (2) arbitrators so appointed shall appoint a third arbitrator. If the Claimant and the Respondent fail to appoint one (1) arbitrator, or the two (2) arbitrators appointed fail to appoint the third arbitrator within the time periods set by the then effective Rules, the relevant appointment shall be made promptly by the Commission. Any award of the arbitration tribunal established pursuant to this Section 10.12 shall be final and binding upon the Parties, and enforceable in any court of competent jurisdiction. The Parties shall use their best efforts to effect the prompt execution of any such award and shall render whatever assistance as may be necessary to this end. The prevailing Party (as determined by the arbitrators) shall be entitled to reimbursement of its costs and expenses, including reasonable attorney s fees, incurred in connection with the arbitration and any judicial enforcement, unless the arbitrators determine that it would be manifestly unfair to honor this agreement of the Parties and determine a different allocation of costs. The foregoing provisions in this Section 10.12 shall not preclude any Party from seeking interim or conservatory remedies, including injunctive relief, from any court having jurisdiction to grant such relief.",2026-05-16 14:02:30
cuad_0110,data\cuad_raw\cuad_0110.txt,success,18098,,,,,,,,,,0,,,,,"Either Party (the ""Non-Breaching Party"") may terminate this Agreement in the event the other Party (the ""Breaching Party"") commits a material breach of this Agreement, and such material breach (excluding breaches of payment obligations) has not been cured within [***] after receipt of written notice of such breach by the Breaching Party from the Non-Breaching Party (the ""Cure Period""). The Cure Period shall be [***] after receipt of written notice of such breach by the Breaching Party from the Non-Breaching Party for breaches of payment obligations (except with respect to Section 8.13, which is covered by Section 11.3(d) above).","EXCEPT FOR A PARTY'S OBLIGATIONS SET FORTH IN THIS ARTICLE 13, AND ANY BREACH OF ARTICLE 10 (CONFIDENTIALITY), IN NO EVENT WILL EITHER PARTY BE LIABLE TO THE OTHER PARTY (OR THE OTHER PARTY'S AFFILIATES OR SUBLICENSEES) IN CONNECTION WITH THIS AGREEMENT FOR LOST REVENUE, LOST PROFITS, LOST ROYALTIES, LOST SAVINGS, LOSS OF USE, DAMAGE TO GOODWILL, OR ANY CONSEQUENTIAL, INCIDENTAL, SPECIAL, EXEMPLARY, PUNITIVE OR INDIRECT DAMAGES IN CONNECTION WITH THIS AGREEMENT, HOWEVER CAUSED, UNDER ANY THEORY OF LIABILITY, INCLUDING CONTRACT, NEGLIGENCE, OR STRICT LIABILITY, EVEN IF THAT PARTY HAS BEEN PLACED ON NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.","This Agreement, and all claims or causes of action (whether in contract, tort or statute) that may be based upon, arise out of or relate to this Agreement, shall be governed by and enforced in accordance with the laws of the State of New York, without giving effect to any choice of law or conflict of law rules or provisions (whether of the State of New York or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of New York.","Any unresolved Dispute which was subject to Section 12.2 and is not a Reserved Dispute, shall be finally resolved by binding arbitration in accordance with the Commercial Arbitration Rules and Supplementary Procedures for Large Complex Disputes of the American Arbitration Association (""AAA"") and otherwise as set forth in this Section 12.3, and judgment on the arbitration award may be entered in any court having jurisdiction thereof.",2026-05-16 14:02:52
cuad_0111,data\cuad_raw\cuad_0111.txt,success,4000,,,,,,,,,LICENSOR indemnifies and holds harmless plan_b against all claims that Content infringes any of the above mentioned rights of a third Party. LICENSOR shall pay all damages awarded in a trial to a third Party.,1,,USD,,The Initial Term shall automatically be extended for an additional period of half a year unless either party provides the other party with written notification of termination of the letter Agreement at least 60 days prior to end of such period.,"Either Party shall be entitled to cancel this Agreement if the other Party is materially in breach of the terms of this Agreement. If the breach of contract is capable of being remedied, this Agreement can be cancelled only provided that the Party in breach has not rectified its breach within thirty (30) days of the written notice by the other Party.",,This Agreement shall be governed and construed in accordance with the laws of the United States of America.,"The courts of competent jurisdiction at New York City, New York, shall have the exclusive jurisdiction over any dispute arising out of or in connection with this Agreement.",2026-05-16 14:03:08
cuad_0112,data\cuad_raw\cuad_0112.txt,success,8045,,,,,,,,,,0,,,,"At Rogers  option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the  Renewal Term ).","Notwithstanding any other provision of this Agreement, Rogers may terminate this Agreement, at any time, upon sixty (60) days  prior written notice to Licensor.","Except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind.",This Agreement shall be governed by laws of the Province of Ontario and the federal laws of Canada applicable therein.,,2026-05-16 14:03:25
cuad_0113,data\cuad_raw\cuad_0113.txt,success,5500,,,,,,,,,,0,,,,,,,"All questions with respect to the construction of this Agreement, and the rights and liabilities of the Parties hereto, shall be governed by the laws of the State of Florida. The Parties also agree that the venue for this Agreement shall be in the County of Brevard, Florida.","In the event of any controversy, claim or dispute between the Parties hereto, including, but not limited to, any action at law or in equity, including any action for declaratory or injunctive relief, arising out of or relating to this Agreement or the breach thereof, the prevailing Party shall be entitled to recover from the losing Party all of his or her actual attorney's fees and costs in bringing, prosecuting, or defending said action.",2026-05-16 14:03:40
cuad_0114,data\cuad_raw\cuad_0114.txt,success,8507,,,,,,,,,,,,,,"The initial term of this Agreement will begin on the Effective Date and end twelve (12) months after the Launch (the  Term ). IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties",Either party may terminate the Agreement at any time in the event of a material breach by the other party that remains uncured after thirty (30) days written notice of the breach.,IN NO EVENT WILL IMNTV S LIABILITY TO DISTRIBUTOR UNDER THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY DUE TO IMNTV HEREIN.,This Agreement will be governed by the laws of the State of Florida without regard to conflicts of law provisions.,,2026-05-16 14:03:57
